     0	     0	1463.091682	6727.817660	18750.541324	47280.351773	106957.179330	217109.653621	402931.170481	696163.576492	1125001.938183	1713582.213329	2477789.750909	3416303.454426	4537209.659652	5776980.237631	7169308.929250	8644205.693133	9954504.453123	11250575.939668	12440815.416715	13607617.312486	13676090.422230	12968126.307599	11729701.525218	10416570.595057	8920409.897183	7418186.273082	6231173.344096	5215622.552123	4676706.758495	4275272.432846	3913589.314940	3572109.596455	3259424.417183	2987801.344308	2744746.602386	2556213.560284	2407765.571754	2283394.347595	2200722.180024	2127421.363253	2084261.594129	2004423.378337	1917732.089823	1826831.681785	1748654.800035	1678952.340663	1621992.897454	1573645.208843	1531399.846549	1492060.238002	1454571.535812	1418237.804179	1382589.315074	1347319.763760	1312242.021977	1277257.410365	1242334.931430	1207499.976662	1172810.286732	1138334.105073	1104140.604056	1070297.073928	1036867.524309	1003906.135830	971461.782998
     1	     0	1460.913621	6726.872637	18750.161891	47280.132860	106957.027318	217109.531430	402931.060450	696163.470880	1125001.834246	1713582.110630	2477789.649946	3416303.303639	4537209.516522	5776980.101165	7169308.799015	8644205.568398	9954504.335582	11250575.828983	12440815.312223	13607617.213172	13676090.330917	12968126.225163	11729701.452453	10416570.532361	8920409.843754	7418186.228673	6231173.307429	5215622.522057	4676706.731032	4275272.406760	3913589.290248	3572109.573883	3259424.396978	2987801.325634	2744746.584730	2556213.543306	2407765.554896	2283394.330848	2200722.163036	2127421.346192	2084261.576751	2004423.362449	1910936.217316	1781947.564532	1682854.071013	1601784.669809	1541303.221678	1491567.972500	1448797.732805	1409771.743514	1373012.751973	1337616.012787	1303000.127779	1268790.819345	1234778.374324	1200853.299115	1166978.198387	1133173.324647	1099491.151180	1065994.311697	1032745.897499	999807.745443	967239.800572	935094.276186	903419.586154
     2	     0	1460.639510	6726.753704	18750.114139	47280.105310	106957.008188	217109.516052	402931.046602	696163.457588	1125001.821166	1713582.097705	2477789.637240	3416303.284662	4537209.498508	5776980.083990	7169308.782623	8644205.552698	9954504.320787	11250575.815049	12440815.299068	13607617.200668	13676090.319419	12968126.214782	11729701.443289	10416570.524464	8920409.837024	7418186.223079	6231173.302810	5215622.518269	4676706.727573	4275272.403473	3913589.287137	3572109.571039	3259424.394432	2987801.323282	2744746.582506	2556213.541167	2407765.552772	2283394.328738	2200722.160897	2127421.344043	2084261.574562	2004423.360448	1904872.284695	1744988.676172	1634039.404735	1548585.343654	1486756.256835	1437329.113161	1395275.719524	1357207.433952	1321423.633379	1286946.976934	1253175.932143	1219730.376849	1186417.679715	1153144.460017	1119885.242322	1086667.826139	1053548.582763	1020591.291422	987858.467068	955411.020244	923308.318746	891602.943675	860344.223850
     3	     0	1460.391675	6726.646173	18750.070964	47280.080400	106956.990891	217109.502148	402931.034082	696163.445571	1125001.809339	1713582.086019	2477789.625751	3416303.267504	4537209.482222	5776980.068462	7169308.767805	8644205.538505	9954504.307413	11250575.802455	12440815.287178	13607617.189367	13676090.309028	12968126.205400	11729701.435008	10416570.517328	8920409.830942	7418186.218024	6231173.298636	5215622.514845	4676706.724445	4275272.400502	3913589.284325	3572109.568468	3259424.392130	2987801.321155	2744746.580494	2556213.539233	2407765.550852	2283394.326830	2200722.158961	2127421.342099	2084261.572582	2004423.358638	1899433.760215	1714167.083584	1596653.211575	1509872.475615	1447846.569479	1399427.884539	1358465.375823	1321417.042011	1286500.132736	1252745.156066	1219575.464274	1186631.240327	1153750.182837	1120862.395610	1087958.204709	1055075.088045	1022274.658265	989622.804640	957182.449557	925014.496934	893178.412327	861727.417468	830711.704443
     4	     0	1460.167886	6726.549074	18750.031979	47280.057907	106956.975272	217109.489594	402931.022776	696163.434719	1125001.798660	1713582.075467	2477789.615378	3416303.252011	4537209.467515	5776980.054439	7169308.754422	8644205.525687	9954504.295333	11250575.791079	12440815.276438	13607617.179158	13676090.299640	12968126.196925	11729701.427526	10416570.510880	8920409.825447	7418186.213456	6231173.294865	5215622.511753	4676706.721620	4275272.397819	3913589.281785	3572109.566146	3259424.390052	2987801.319234	2744746.578678	2556213.537487	2407765.549118	2283394.325108	2200722.157215	2127421.340345	2084261.570795	2004423.357004	1894531.955109	1688179.606935	1567306.279018	1480615.205835	1418992.991594	1371824.703032	1331984.320799	1295835.768745	1261605.386932	1228374.011023	1195608.627084	1162978.249658	1130352.839564	1097685.842077	1064982.313383	1032288.289072	999669.766183	967194.217665	934924.816299	902922.468476	871246.727668	839951.290786	809086.931997
     5	     0	1459.965593	6726.461303	18749.996738	47280.037575	106956.961153	217109.478245	402931.012557	696163.424910	1125001.789006	1713582.065928	2477789.606000	3416303.238007	4537209.454222	5776980.041764	7169308.742324	8644205.514099	9954504.284411	11250575.780792	12440815.266725	13607617.169924	13676090.291147	12968126.189254	11729701.420752	10416570.505041	8920409.820469	7418186.209318	6231173.291446	5215622.508948	4676706.719058	4275272.395384	3913589.279479	3572109.564038	3259424.388165	2987801.317490	2744746.577029	2556213.535901	2407765.547543	2283394.323543	2200722.155627	2127421.338749	2084261.569170	2004423.355518	1890092.666411	1666057.404888	1543820.873398	1457886.789213	1396958.449199	1351067.440933	1312250.431504	1276839.453484	1243125.239763	1210258.245703	1177754.098563	1145311.093384	1112828.961053	1080281.792775	1047686.914644	1015097.065102	982581.366601	950208.130898	918040.437350	886139.031854	854563.421003	823367.568814	792602.578837
     6	     0	1459.782314	6726.381781	18749.964809	47280.019154	106956.948362	217109.467962	402931.003298	696163.416023	1125001.780260	1713582.057286	2477789.597504	3416303.225318	4537209.442178	5776980.030282	7169308.731368	8644205.503607	9954504.274527	11250575.771487	12440815.257944	13607617.161581	13676090.283481	12968126.182337	11729701.414651	10416570.499787	8920409.815994	7418186.205600	6231173.288379	5215622.506435	4676706.716763	4275272.393205	3913589.277418	3572109.562155	3259424.386479	2987801.315932	2744746.575556	2556213.534485	2407765.546137	2283394.322146	2200722.154210	2127421.337327	2084261.567722	2004423.354195	1886053.539784	1647067.194837	1524734.088234	1439856.175660	1379735.716641	1335051.432496	1297118.679477	1262289.992662	1228951.722647	1196329.825431	1163986.851014	1131647.461909	1099237.279010	1066747.784244	1034206.019714	1001669.662985	969209.835882	936895.065510	904788.052165	872949.235009	841437.952362	810308.269164	779611.432708
     7	     0	1459.615787	6726.309528	18749.935799	47280.002417	106956.936740	217109.458620	402930.994885	696163.407948	1125001.772314	1713582.049434	2477789.589785	3416303.213789	4537209.431234	5776980.019847	7169308.721409	8644205.494067	9954504.265536	11250575.763018	12440815.249947	13607617.153978	13676090.276487	12968126.176020	11729701.409073	10416570.494979	8920409.811895	7418186.202192	6231173.285563	5215622.504125	4676706.714652	4275272.391199	3913589.275519	3572109.560418	3259424.384924	2987801.314495	2744746.574197	2556213.533178	2407765.544839	2283394.320857	2200722.152902	2127421.336013	2084261.566383	2004423.352971	1882361.969164	1630644.913415	1509025.649958	1425311.747309	1366015.063155	1322427.736213	1285237.342525	1250857.567599	1217785.901793	1185322.292218	1153071.540374	1120780.662023	1088397.184226	1055926.918327	1023404.395144	990890.780579	958458.318956	926175.305466	894103.872836	862304.057871	830834.946659	799750.587312	769102.243103
     8	     0	1459.464011	6726.243674	18749.909358	47279.987162	106956.926147	217109.450105	402930.987218	696163.400589	1125001.765071	1713582.042278	2477789.582749	3416303.203281	4537209.421259	5776980.010336	7169308.712332	8644205.485374	9954504.257344	11250575.755305	12440815.242665	13607617.147059	13676090.270127	12968126.170280	11729701.404008	10416570.490616	8920409.808178	7418186.199104	6231173.283015	5215622.502036	4676706.712746	4275272.389389	3913589.273805	3572109.558852	3259424.383523	2987801.313200	2744746.572973	2556213.532001	2407765.543672	2283394.319697	2200722.151726	2127421.334833	2084261.565181	2004423.351872	1878973.409781	1616350.246041	1495961.298133	1413416.605425	1354907.374589	1312296.714875	1275718.805085	1241678.722975	1208790.536314	1176422.890318	1144217.181962	1111938.703797	1079553.295750	1047078.469031	1014554.429924	982044.708672	949622.029759	917354.161120	885302.561528	853526.814324	822085.702350	791033.177554	760420.433740
     9	     0	1459.325239	6726.183464	18749.885183	47279.973214	106956.916461	217109.442320	402930.980207	696163.393860	1125001.758449	1713582.035734	2477789.576317	3416303.193675	4537209.412141	5776980.001643	7169308.704037	8644205.477429	9954504.249858	11250575.748256	12440815.236012	13607617.140735	13676090.264312	12968126.165031	11729701.399373	10416570.486623	8920409.804775	7418186.196274	6231173.280678	5215622.500120	4676706.710995	4275272.387725	3913589.272231	3572109.557412	3259424.382234	2987801.312009	2744746.571846	2556213.530918	2407765.542595	2283394.318628	2200722.150642	2127421.333743	2084261.564072	2004423.350858	1875850.012852	1603834.873581	1484998.612108	1403573.223796	1345789.767042	1304038.616907	1267960.081533	1234172.405904	1201405.327555	1169089.230500	1136896.449357	1104606.852515	1072201.533969	1039707.536649	1007169.312450	974651.909987	942228.079242	909964.879044	877923.046380	846161.691484	814739.266718	783709.576035	753123.687725
