FSWtarget	Poptarget	year	ptest	LENinit
45000	207500	2028	 0.0463063	207660
45000	249000	2027	 0.104542	249767
45000	249000	2028	 0.0559353	249273
45000	290500	2027	 0.122652	291161
45000	290500	2028	 0.0656956	290929
45000	332000	2027	 0.141005	332574
45000	332000	2028	 0.0755908	332633
45000	373500	2027	 0.159798	374439
45000	373500	2028	 0.0856254	374393
45000	415000	2027	 0.178633	415854
45000	415000	2028	 0.095602	415394
