FSWtarget	Poptarget	year	ptest	LENinit
0	3000	2027	 20.6962	2864.03
0	3000	2028	 11.1883	3131.16
0	6000	2027	 41.3924	5468.32
0	6000	2028	 24.4806	6455.04
0	9000	2027	 71.2814	8823.92
0	9000	2028	 36.7362	9184.09
0	12000	2027	 99.3347	11592.5
0	12000	2028	 53.2175	12414.8
0	15000	2027	 129.636	14226.6
0	15000	2028	 73.1134	15745.7
0	18000	2027	 174.805	17575.4
0	18000	2028	 92.2538	18462.8
0	21000	2027	 217.75	20232.5
0	21000	2028	 120.691	21793.8
0	24000	2027	 280.939	23411.9
0	24000	2028	 151.348	24650.5
